,precision,recall,f1-score,support
about.1,0.9347826086956522,1.0,0.9662921348314606,129.0
about.2,1.0,0.3076923076923077,0.47058823529411764,13.0
above.1,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
above.2,0.0,0.0,0.0,0.0
above.3,0.0,0.0,0.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.75,0.6,0.6666666666666665,5.0
after.2,0.6923076923076923,1.0,0.8181818181818181,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.8888888888888888,0.8,0.8421052631578948,20.0
against.2,0.8095238095238095,0.8947368421052632,0.8500000000000001,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.9090909090909091,1.0,0.9523809523809523,10.0
among.2,1.0,0.3333333333333333,0.5,3.0
among.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
among.4,0.6,0.75,0.6666666666666665,4.0
around.1,0.8275862068965517,0.8135593220338984,0.8205128205128206,59.0
around.3,0.7380952380952381,0.7560975609756098,0.746987951807229,41.0
as.1,0.9032258064516129,1.0,0.9491525423728813,28.0
as.2,1.0,0.4,0.5714285714285715,5.0
at.1,0.8833333333333333,0.9464285714285714,0.9137931034482758,56.0
at.2,0.7441860465116279,0.9696969696969697,0.8421052631578948,33.0
at.2_1,0.0,0.0,0.0,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,1.0,0.3333333333333333,0.5,3.0
at.5,0.8709677419354839,0.84375,0.8571428571428571,32.0
at.6,1.0,0.5,0.6666666666666666,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.6666666666666666,0.4,0.5,5.0
before.2,0.5,0.6666666666666666,0.5714285714285715,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,1.0,1.0,1.0,21.0
between.4,1.0,1.0,1.0,16.0
between.4_1,1.0,1.0,1.0,4.0
by.1,0.7758620689655172,0.8490566037735849,0.8108108108108107,53.0
by.1_1,1.0,0.7777777777777778,0.8750000000000001,9.0
by.2,0.4,0.14285714285714285,0.21052631578947364,14.0
by.2_2,0.4,0.5714285714285714,0.47058823529411764,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,0.8,1.0,0.888888888888889,8.0
by.6,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
down.1,0.8518518518518519,0.6388888888888888,0.7301587301587301,36.0
down.2,0.4838709677419355,0.8333333333333334,0.6122448979591837,18.0
down.2_1,0.0,0.0,0.0,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0
for.11,0.8,0.5714285714285714,0.6666666666666666,7.0
for.12_1,1.0,0.375,0.5454545454545454,8.0
for.14,0.7111111111111111,0.8205128205128205,0.7619047619047619,39.0
for.15,0.75,0.75,0.75,4.0
for.16,0.6129032258064516,0.5588235294117647,0.5846153846153845,34.0
for.2,0.75,0.75,0.75,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.5087719298245614,0.8529411764705882,0.6373626373626374,34.0
for.5,1.0,0.3333333333333333,0.5,3.0
for.6,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
for.7,0.9090909090909091,0.6666666666666666,0.7692307692307692,15.0
for.9,1.0,0.2,0.33333333333333337,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.5771428571428572,0.9711538461538461,0.7240143369175628,104.0
from.10,0.0,0.0,0.0,5.0
from.11,0.875,0.4666666666666667,0.608695652173913,15.0
from.12,1.0,0.2857142857142857,0.4444444444444445,21.0
from.13,0.3333333333333333,0.2,0.25,5.0
from.14,0.0,0.0,0.0,1.0
from.15,1.0,0.5,0.6666666666666666,4.0
from.16,1.0,1.0,1.0,2.0
from.2,0.0,0.0,0.0,2.0
from.3,1.0,0.3333333333333333,0.5,3.0
from.4,1.0,0.2857142857142857,0.4444444444444445,7.0
from.5,1.0,1.0,1.0,1.0
from.6,0.7777777777777778,0.3888888888888889,0.5185185185185185,18.0
from.7,0.6,0.6,0.6,5.0
from.8,0.9285714285714286,0.43333333333333335,0.5909090909090909,30.0
from.9,0.8333333333333334,0.5555555555555556,0.6666666666666667,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.5617283950617284,0.8272727272727273,0.6691176470588235,110.0
