,precision,recall,f1-score,support
about.1,0.9847328244274809,1.0,0.9923076923076923,129.0
about.2,1.0,0.8461538461538461,0.9166666666666666,13.0
above.1,1.0,1.0,1.0,9.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.7142857142857143,1.0,0.8333333333333333,5.0
after.2,0.9,1.0,0.9473684210526316,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9523809523809523,1.0,0.975609756097561,20.0
against.2,1.0,0.9473684210526315,0.972972972972973,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.9090909090909091,1.0,0.9523809523809523,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.5,0.6666666666666666,0.5714285714285715,3.0
among.4,0.6666666666666666,0.5,0.5714285714285715,4.0
around.1,0.9148936170212766,0.7288135593220338,0.8113207547169811,59.0
around.3,0.6981132075471698,0.9024390243902439,0.7872340425531914,41.0
as.1,0.9032258064516129,1.0,0.9491525423728813,28.0
as.2,1.0,0.4,0.5714285714285715,5.0
at.1,0.8208955223880597,0.9821428571428571,0.8943089430894309,56.0
at.2,0.9,0.8181818181818182,0.8571428571428572,33.0
at.2_1,1.0,1.0,1.0,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,1.0,0.3333333333333333,0.5,3.0
at.5,0.8823529411764706,0.9375,0.9090909090909091,32.0
at.6,1.0,0.75,0.8571428571428571,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.8,0.8,0.8000000000000002,5.0
before.2,0.75,1.0,0.8571428571428571,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.9130434782608695,1.0,0.9545454545454545,21.0
between.4,1.0,0.875,0.9333333333333333,16.0
between.4_1,1.0,1.0,1.0,4.0
by.1,0.8,0.9811320754716981,0.8813559322033898,53.0
by.1_1,1.0,0.7777777777777778,0.8750000000000001,9.0
by.2,1.0,0.35714285714285715,0.5263157894736842,14.0
by.2_2,0.8,0.5714285714285714,0.6666666666666666,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,0.8888888888888888,1.0,0.9411764705882353,8.0
by.6,0.75,1.0,0.8571428571428571,6.0
down.1,0.9444444444444444,0.9444444444444444,0.9444444444444444,36.0
down.2,0.7727272727272727,0.9444444444444444,0.85,18.0
down.2_1,0.0,0.0,0.0,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,1.0,0.42857142857142855,0.6,7.0
for.11,0.75,0.42857142857142855,0.5454545454545454,7.0
for.12_1,1.0,0.75,0.8571428571428571,8.0
for.14,0.6538461538461539,0.8717948717948718,0.7472527472527474,39.0
for.15,1.0,0.5,0.6666666666666666,4.0
for.16,0.5454545454545454,0.7058823529411765,0.6153846153846153,34.0
for.2,1.0,0.75,0.8571428571428571,4.0
for.3,0.2,0.16666666666666666,0.1818181818181818,6.0
for.4,0.7105263157894737,0.7941176470588235,0.7499999999999999,34.0
for.5,0.0,0.0,0.0,3.0
for.6,1.0,0.9166666666666666,0.9565217391304348,12.0
for.7,1.0,0.7333333333333333,0.846153846153846,15.0
for.9,0.0,0.0,0.0,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.7559055118110236,0.9230769230769231,0.8311688311688312,104.0
from.10,1.0,0.4,0.5714285714285715,5.0
from.11,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
from.12,0.7368421052631579,0.6666666666666666,0.7,21.0
from.13,0.5714285714285714,0.8,0.6666666666666666,5.0
from.14,0.0,0.0,0.0,1.0
from.15,0.5,0.25,0.3333333333333333,4.0
from.16,1.0,0.5,0.6666666666666666,2.0
from.2,0.6666666666666666,1.0,0.8,2.0
from.3,1.0,0.3333333333333333,0.5,3.0
from.4,0.6666666666666666,0.2857142857142857,0.4,7.0
from.5,1.0,1.0,1.0,1.0
from.6,1.0,0.6111111111111112,0.7586206896551725,18.0
from.7,0.6,0.6,0.6,5.0
from.8,0.8214285714285714,0.7666666666666667,0.793103448275862,30.0
from.9,0.8571428571428571,0.6666666666666666,0.75,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.743801652892562,0.8181818181818182,0.7792207792207793,110.0
in.10,0.0,0.0,0.0,1.0
in.11,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
in.12,0.0,0.0,0.0,1.0
in.14,0.0,0.0,0.0,1.0
in.14_1,1.0,0.4,0.5714285714285715,5.0
in.15,0.6363636363636364,0.7,0.6666666666666666,10.0
in.16,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0
in.17,0.7,0.7777777777777778,0.7368421052631577,9.0
in.18,1.0,1.0,1.0,1.0
in.19,0.5,0.6,0.5454545454545454,5.0
in.2,0.6470588235294118,0.5789473684210527,0.6111111111111113,19.0
in.20,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
in.21,0.5,1.0,0.6666666666666666,1.0
in.3,1.0,0.6666666666666666,0.8,3.0
in.4,0.8333333333333334,0.625,0.7142857142857143,8.0
in.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
in.6,0.6071428571428571,0.53125,0.5666666666666667,32.0
in.7,1.0,0.6666666666666666,0.8,3.0
in.8,0.9,0.75,0.8181818181818182,12.0
in.other,0.0,0.0,0.0,3.0
inside.1,0.75,0.375,0.5,8.0
inside.1_1,0.375,0.75,0.5,4.0
inside.1_2,1.0,1.0,1.0,1.0
into.1,0.875,0.9381443298969072,0.9054726368159204,97.0
into.2,0.4,0.2857142857142857,0.3333333333333333,7.0
into.4,0.8,0.5,0.6153846153846154,16.0
into.4_1,0.0,0.0,0.0,0.0
like.1,0.8979591836734694,1.0,0.9462365591397849,44.0
like.2,0.0,0.0,0.0,2.0
like.3,0.0,0.0,0.0,1.0
like.4,0.0,0.0,0.0,2.0
of.1,0.8163265306122449,0.9523809523809523,0.8791208791208791,42.0
of.10,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
of.11,1.0,0.6666666666666666,0.8,9.0
of.12,0.0,0.0,0.0,4.0
of.13,1.0,1.0,1.0,3.0
of.14,0.0,0.0,0.0,5.0
of.15,1.0,0.6666666666666666,0.8,3.0
of.16,0.0,0.0,0.0,2.0
of.17,0.0,0.0,0.0,0.0
of.18,0.6907216494845361,0.8271604938271605,0.7528089887640449,81.0
of.18_1,1.0,0.8125,0.896551724137931,16.0
of.19,0.9333333333333333,0.8235294117647058,0.8749999999999999,17.0
of.2_1,0.9272727272727272,0.9272727272727272,0.9272727272727272,55.0
of.2_2,0.8656716417910447,0.8529411764705882,0.8592592592592593,68.0
of.2_3,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0
of.2_4,1.0,0.5,0.6666666666666666,2.0
